sale_id,sale_date,product_id,promotion_id,quantity_sold,revenue,baseline_revenue,discount_applied_pct,is_promoted
1,2024-01-01,20,,2,2.58,2.58,0,0
2,2024-01-01,5,,3,5.51,5.51,0,0
3,2024-01-01,25,,2,4.13,4.13,0,0
4,2024-01-01,18,,5,12.62,12.62,0,0
5,2024-01-01,30,,1,1.62,1.62,0,0
6,2024-01-01,20,,3,3.88,3.88,0,0
7,2024-01-01,16,,1,2.43,2.43,0,0
8,2024-01-01,4,,3,3.8,3.8,0,0
9,2024-01-01,29,,3,5.79,5.79,0,0
10,2024-01-01,8,,1,0.77,0.77,0,0
11,2024-01-01,8,,5,3.82,3.82,0,0
12,2024-01-01,3,,1,1.33,1.33,0,0
13,2024-01-01,24,,4,3.6,3.6,0,0
14,2024-01-01,27,,1,0.97,0.97,0,0
15,2024-01-01,25,,5,10.33,10.33,0,0
16,2024-01-01,25,,2,4.13,4.13,0,0
17,2024-01-01,5,,4,7.34,7.34,0,0
18,2024-01-01,18,,2,5.05,5.05,0,0
19,2024-01-01,9,,5,5.57,5.57,0,0
20,2024-01-01,28,,5,4.89,4.89,0,0
21,2024-01-01,14,,2,2.55,2.55,0,0
22,2024-01-01,30,,5,8.12,8.12,0,0
23,2024-01-01,25,,2,4.13,4.13,0,0
24,2024-01-01,23,,3,3.52,3.52,0,0
25,2024-01-01,13,,3,2.73,2.73,0,0
26,2024-01-01,15,,5,11.14,11.14,0,0
27,2024-01-01,15,,1,2.23,2.23,0,0
28,2024-01-01,8,,2,1.53,1.53,0,0
29,2024-01-01,3,,3,3.98,3.98,0,0
30,2024-01-01,1,,5,8.63,8.63,0,0
31,2024-01-01,18,,2,5.05,5.05,0,0
32,2024-01-01,19,,2,5.98,5.98,0,0
33,2024-01-01,1,,1,1.73,1.73,0,0
34,2024-01-01,23,,1,1.17,1.17,0,0
35,2024-01-01,8,,1,0.77,0.77,0,0
36,2024-01-01,29,,1,1.93,1.93,0,0
37,2024-01-01,28,,3,2.93,2.93,0,0
38,2024-01-01,3,,5,6.63,6.63,0,0
39,2024-01-01,8,,3,2.29,2.29,0,0
40,2024-01-01,22,,4,6.77,6.77,0,0
41,2024-01-01,7,,5,7.95,7.95,0,0
42,2024-01-01,5,,5,9.18,9.18,0,0
43,2024-01-01,19,,4,11.97,11.97,0,0
44,2024-01-01,8,,4,3.06,3.06,0,0
45,2024-01-01,26,,4,5.1,5.1,0,0
46,2024-01-01,7,,1,1.59,1.59,0,0
47,2024-01-01,4,,4,5.07,5.07,0,0
48,2024-01-01,12,,4,7.68,7.68,0,0
49,2024-01-01,14,,4,5.1,5.1,0,0
50,2024-01-01,28,,1,0.98,0.98,0,0
51,2024-01-01,22,,1,1.69,1.69,0,0
52,2024-01-01,2,,4,4.18,4.18,0,0
53,2024-01-01,24,,3,2.7,2.7,0,0
54,2024-01-01,26,,1,1.27,1.27,0,0
55,2024-01-01,8,,2,1.53,1.53,0,0
56,2024-01-01,7,,5,7.95,7.95,0,0
57,2024-01-01,15,,2,4.45,4.45,0,0
58,2024-01-01,14,,2,2.55,2.55,0,0
59,2024-01-01,9,,4,4.45,4.45,0,0
60,2024-01-01,8,,1,0.77,0.77,0,0
61,2024-01-01,15,,5,11.14,11.14,0,0
62,2024-01-01,4,,1,1.27,1.27,0,0
63,2024-01-01,21,,5,9.22,9.22,0,0
64,2024-01-01,27,,1,0.97,0.97,0,0
65,2024-01-01,3,,2,2.65,2.65,0,0
66,2024-01-01,6,,4,5.47,5.47,0,0
67,2024-01-01,16,,4,9.72,9.72,0,0
68,2024-01-01,7,,4,6.36,6.36,0,0
69,2024-01-01,29,,1,1.93,1.93,0,0
70,2024-01-01,6,,4,5.47,5.47,0,0
71,2024-01-01,1,,4,6.9,6.9,0,0
72,2024-01-01,9,,4,4.45,4.45,0,0
73,2024-01-01,10,,4,2.86,2.86,0,0
74,2024-01-01,23,,5,5.86,5.86,0,0
75,2024-01-01,22,,4,6.77,6.77,0,0
76,2024-01-01,5,,2,3.67,3.67,0,0
77,2024-01-01,10,,2,1.43,1.43,0,0
78,2024-01-01,2,,5,5.23,5.23,0,0
79,2024-01-01,24,,5,4.51,4.51,0,0
80,2024-01-01,2,,3,3.14,3.14,0,0
